epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35824,1.15608,1.6717,1.36277,0.60691,0.24776,0.28385,0.17341,1.52439,2.29451,1.77245,0.000475934,0.000475934,0.000475934
2,42133.6,1.23241,1.39788,1.41559,0.61185,0.24931,0.27714,0.18195,1.59235,2.20554,1.8478,0.000933413,0.000933413,0.000933413
3,47855.4,1.2253,1.33672,1.41065,0.29454,0.25336,0.29776,0.19585,1.49474,2.03435,1.69952,0.00137203,0.00137203,0.00137203
